date,rent,cumulative_rents
2023-05-01,16.06,1223.134838999999
2023-05-08,16.04,1239.175547999999
2023-05-15,16.04,1255.2162569999991
2023-05-22,16.04,1271.2569659999992
2023-05-29,16.04,1287.2976749999993
2023-06-05,15.72,1303.0132749999993
2023-06-12,15.72,1318.7288749999993
2023-06-19,15.72,1334.4444749999993
2023-06-26,15.72,1350.1600749999993
2023-06-30,6.14,1356.3000749999994
2023-07-03,15.72,1372.0156749999994
2023-07-11,12.18,1384.1996099999994
2023-07-17,12.22,1396.4215429999995
2023-07-24,12.32,1408.7384699999996
2023-07-31,12.32,1421.0553969999996
2023-08-07,13.36,1434.4193599999996
2023-08-14,13.51,1447.9263979999996
2023-08-21,13.66,1461.5850239999995
2023-08-28,13.66,1475.2436499999994
2023-09-04,13.66,1488.9022759999993
2023-09-11,13.69,1502.5902689999994
2023-09-18,13.69,1516.2782619999994
2023-09-25,14.38,1530.6546109999992
2023-09-29,4.07,1534.7246109999992
2023-10-02,14.4,1549.1213839999991
2023-10-09,20.45,1569.5741699999992
2023-10-16,14.66,1584.2363889999992
2023-10-23,14.66,1598.8986079999993
2023-10-30,14.66,1613.5608269999993
2023-11-06,15.33,1628.8920189999994
2023-11-13,15.33,1644.2232109999995
2023-11-17,11.08,1655.3032109999995
2023-11-20,15.68,1670.9835379999995
2023-11-27,16.19,1687.1738679999994
2023-12-04,16.53,1703.7043569999994
2023-12-11,17.12,1720.8259729999993
2023-12-18,17.68,1738.5098029999992
2023-12-25,17.68,1756.1936329999992
2024-01-01,17.68,1773.8774629999991
2024-01-08,17.98,1791.855393999999
2024-01-15,17.98,1809.833324999999
2024-01-22,18.2,1828.031518999999
